hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,policy,run,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta
0.69,0.31,0.27419354838709675,0.8387096774193549,1.0,0.0,7.159748603201601,46.1919264722684,0.04329760962017274,200,138,31,17,0,eval,topk,90,,,,,,,,,,,,,,,,,,,,,
0.725,0.275,0.30357142857142855,0.8214285714285714,1.0,0.0,7.546694742346432,53.904962445331655,0.03710233546732035,200,145,28,17,0,eval,topk,91,,,,,,,,,,,,,,,,,,,,,
0.73,0.27,0.18518518518518517,0.8888888888888888,1.0,0.0,7.564801423848125,56.0355661025787,0.03569161764759903,200,146,27,10,0,eval,topk,92,,,,,,,,,,,,,,,,,,,,,
0.75,0.25,0.16,0.92,1.0,0.0,7.727070272598111,61.816562180784885,0.03235378884627916,200,150,25,8,0,eval,topk,93,,,,,,,,,,,,,,,,,,,,,
0.665,0.335,0.27941176470588236,0.7941176470588235,1.0,0.0,6.99760109360312,41.162359374136,0.04858807975076088,200,133,34,19,0,eval,topk,94,,,,,,,,,,,,,,,,,,,,,
0.765,0.235,0.3333333333333333,0.7083333333333334,1.0,0.0,7.858152375467233,65.48460312889361,0.030541530442864437,200,153,24,16,0,eval,topk,95,,,,,,,,,,,,,,,,,,,,,
0.725,0.275,0.19642857142857142,0.8928571428571429,1.0,0.0,7.534269023508282,53.81620731077344,0.0371635256355128,200,145,28,11,0,eval,topk,96,,,,,,,,,,,,,,,,,,,,,
0.715,0.285,0.3793103448275862,0.7241379310344828,1.0,0.0,7.336525259869274,50.59672593013292,0.039528249372532985,200,143,29,22,0,eval,topk,97,,,,,,,,,,,,,,,,,,,,,
0.63,0.37,0.17567567567567569,0.9459459459459459,1.0,0.0,6.734784914551378,36.4042427813588,0.054938651299845806,200,126,37,13,0,eval,topk,98,,,,,,,,,,,,,,,,,,,,,
0.72,0.28,0.2857142857142857,0.8214285714285714,1.0,0.0,7.381411210152969,52.72436578680692,0.037933125797796785,200,144,28,16,0,eval,topk,99,,,,,,,,,,,,,,,,,,,,,
0.39,0.61,0.08196721311475409,1.0,1.0,0.9180327868852459,4.978762951614351,16.323812956112626,0.1225203943084314,200,78,61,10,122,eval,lru,0,,,,,,,,,,,,,,,,,,,,,
0.575,0.425,0.06976744186046512,1.0,1.0,0.9069767441860465,6.56240845215413,30.522830010019206,0.06552472360339766,200,115,43,6,84,eval,lru,1,,,,,,,,,,,,,,,,,,,,,
0.585,0.415,0.08333333333333333,1.0,1.0,0.8928571428571429,6.521844791567674,31.05640376936988,0.0643989566484368,200,117,42,7,82,eval,lru,2,,,,,,,,,,,,,,,,,,,,,
0.61,0.39,0.0641025641025641,1.0,1.0,0.9358974358974359,6.68020437497616,34.25745833321108,0.05838144734926494,200,122,39,5,78,eval,lru,3,,,,,,,,,,,,,,,,,,,,,
0.59,0.41,0.10975609756097561,1.0,1.0,0.8902439024390244,6.488525120885671,31.651342053100834,0.06318847386138128,200,118,41,9,82,eval,lru,4,,,,,,,,,,,,,,,,,,,,,
0.55,0.45,0.07777777777777778,1.0,1.0,0.9222222222222223,6.195713415224052,27.536504067662452,0.07263086102308476,200,110,45,7,90,eval,lru,5,,,,,,,,,,,,,,,,,,,,,
0.6,0.4,0.0875,1.0,1.0,0.9125,6.725642646106873,33.628213230534364,0.05947387053511375,200,120,40,7,80,eval,lru,6,,,,,,,,,,,,,,,,,,,,,
0.61,0.39,0.1282051282051282,1.0,1.0,0.8717948717948718,6.524175108018341,33.457308246247905,0.05977767204940318,200,122,39,10,78,eval,lru,7,,,,,,,,,,,,,,,,,,,,,
0.605,0.395,0.0625,1.0,1.0,0.9125,6.641113719835574,33.20556859917787,0.06023086139984116,200,121,40,5,78,eval,lru,8,,,,,,,,,,,,,,,,,,,,,
0.61,0.39,0.0641025641025641,1.0,1.0,0.9358974358974359,6.641889246178078,34.06097049322091,0.05871823295223065,200,122,39,5,78,eval,lru,9,,,,,,,,,,,,,,,,,,,,,
0.605,0.395,0.0375,1.0,1.0,0.9375,6.77776822056166,33.8888411028083,0.059016476660639305,200,121,40,3,78,eval,lru,10,,,,,,,,,,,,,,,,,,,,,
0.57,0.43,0.023255813953488372,1.0,1.0,0.9767441860465116,6.368465541737473,29.620769961569643,0.06752018946822871,200,114,43,2,86,eval,lru,11,,,,,,,,,,,,,,,,,,,,,
0.6,0.4,0.075,1.0,1.0,0.925,6.5177419923850115,32.58870996192506,0.061370947249421506,200,120,40,6,80,eval,lru,12,,,,,,,,,,,,,,,,,,,,,
0.615,0.385,0.05128205128205128,0.9743589743589743,1.0,0.9358974358974359,6.791287082968808,34.82711324599389,0.05742652243019473,200,123,39,4,76,eval,lru,13,,,,,,,,,,,,,,,,,,,,,
0.565,0.435,0.045454545454545456,1.0,1.0,0.9318181818181818,6.348255440147025,28.85570654612284,0.06931038048932223,200,113,44,4,86,eval,lru,14,,,,,,,,,,,,,,,,,,,,,
0.56,0.44,0.045454545454545456,1.0,1.0,0.9545454545454546,6.387039185181736,29.03199629628062,0.06888951002850005,200,112,44,4,88,eval,lru,15,,,,,,,,,,,,,,,,,,,,,
0.62,0.38,0.13157894736842105,1.0,1.0,0.868421052631579,6.692594536405048,35.22418177055289,0.05677917553991227,200,124,38,10,76,eval,lru,16,,,,,,,,,,,,,,,,,,,,,
0.625,0.375,0.10526315789473684,1.0,1.0,0.868421052631579,6.762523832077039,35.59223069514231,0.05619203856961299,200,125,38,8,74,eval,lru,17,,,,,,,,,,,,,,,,,,,,,
0.565,0.435,0.06818181818181818,1.0,1.0,0.9090909090909091,6.42584516014337,29.208387091560777,0.06847348310368918,200,113,44,6,86,eval,lru,18,,,,,,,,,,,,,,,,,,,,,
0.66,0.34,0.07352941176470588,1.0,1.0,0.9264705882352942,6.96870912074969,40.99240659264523,0.04878952387144881,200,132,34,5,68,eval,lru,19,,,,,,,,,,,,,,,,,,,,,
