snr_db,pa_method,sum_rate_mean,sum_rate_std,outage_weak_mean,outage_weak_std,outage_strong_mean,outage_strong_std,ber_weak_mean,ber_weak_std,ber_strong_mean,ber_strong_std,cache_hit_weak_mean,cache_hit_weak_std,cache_hit_strong_mean,cache_hit_strong_std,energy_mean,energy_std,cic_opportunity_mean,cic_opportunity_std,cic_benefit_mean,cic_benefit_std,sic_success_mean,sic_success_std,outage_prob,cache_hit_rate,cic_benefit_rate,energy_efficiency,label
10,cache_aware,13.245305031626051,6.103130667985841,0.092,0.28931541060515126,0.034,0.18141063816457556,0.05796895142803405,0.10738259982339668,0.012098671651690818,0.06048393809641855,0.56,0.49688407860903566,0.594,0.4915763364821159,1.312,0.9510336113196628,0.466,0.49934225273928257,0.434,0.49612122767030464,0.994,0.07730428127734981,0.063,0.577,0.9313304721030042,10.095506883861319,Hybrid CIC
12,cache_aware,13.422134457398286,5.791085253999619,0.082,0.2746394977191278,0.02,0.14014021035061358,0.057075009266076775,0.11007872496353152,0.00654347278886113,0.043734837776966864,0.554,0.49757326929471735,0.578,0.49437314815758193,1.36,0.9338866572433479,0.492,0.5004366830554041,0.462,0.4990532118085534,0.996,0.06318214912406725,0.051000000000000004,0.5660000000000001,0.9390243902439025,9.869216512792857,Hybrid CIC
14,cache_aware,13.425800167672167,5.914400101366474,0.066,0.24853075276540784,0.028,0.16513794561567105,0.04899039061185609,0.10290028261630933,0.009108243916016095,0.04947042906944932,0.538,0.4990532118085534,0.554,0.49757326929471735,1.376,0.927547674989678,0.468,0.4994746739323223,0.448,0.4977866844003892,0.994,0.07730428127734981,0.047,0.546,0.9572649572649572,9.757122214878029,Hybrid CIC
16,cache_aware,13.571772094693767,5.71674512759558,0.056,0.2301519929954106,0.026,0.15929453694021647,0.04730771889460669,0.09420647530978442,0.008166781487157096,0.046851230218047185,0.5,0.5005007512521914,0.568,0.4958505172639653,1.412,0.9120963982383433,0.48,0.5001001903626928,0.46,0.4988965780511852,0.994,0.07730428127734981,0.041,0.534,0.9583333333333334,9.611736610972923,Hybrid CIC
18,cache_aware,14.450991264095773,5.419069286908437,0.026,0.15929453694021647,0.022,0.14683023611120752,0.03332040025004765,0.07920632611229544,0.006936077037224048,0.0425213779447394,0.566,0.4961212276703046,0.546,0.4983781310642012,1.392,0.9208865642022673,0.504,0.5004847349718868,0.496,0.5004847349718868,1.0,0.0,0.024,0.556,0.9841269841269841,10.381459241448113,Hybrid CIC
20,cache_aware,14.466144703403923,5.534427155349609,0.03,0.17075806462145948,0.032,0.1761762644407714,0.04109437803605996,0.08755101330783255,0.0090505814551414,0.04838266829030561,0.54,0.4988965780511852,0.538,0.4990532118085534,1.416,0.9102753442804049,0.494,0.5004647139007099,0.476,0.4999238418953339,1.0,0.0,0.031,0.539,0.9635627530364372,10.216203886584692,Hybrid CIC
22,cache_aware,15.47067625880837,5.21325154113136,0.018,0.13308426971543774,0.014,0.11760809209681664,0.03223503763340417,0.07444570534575456,0.0038739355469805305,0.031690117200879823,0.576,0.49468517953715513,0.582,0.49372414064344494,1.332,0.9442240826395357,0.49,0.5004006410899234,0.476,0.4999238418953339,1.0,0.0,0.016,0.579,0.9714285714285714,11.614621815922199,Hybrid CIC
24,cache_aware,15.011416923378032,5.625226121331368,0.014,0.11760809209681664,0.022,0.14683023611120752,0.03374368942414638,0.0746922572104433,0.006150673906820551,0.039217205283728435,0.522,0.5000160318071094,0.536,0.49920176763471025,1.444,0.8969241583834076,0.502,0.5004967472301652,0.496,0.5004847349718868,1.0,0.0,0.018,0.529,0.9880478087649402,10.395718090982017,Hybrid CIC
26,cache_aware,15.780726963502474,5.418057647947437,0.002,0.044721359549995794,0.044,0.20530050314888754,0.02426683056563926,0.06279095744954144,0.011734060877583203,0.054485657820785086,0.55,0.4979919597583559,0.554,0.49757326929471735,1.408,0.9138962812188545,0.512,0.5003565862730837,0.512,0.5003565862730837,1.0,0.0,0.023,0.552,1.0,11.207902672942097,Hybrid CIC
28,cache_aware,15.562503570135322,5.816749211880907,0.012,0.10899430957182159,0.022,0.14683023611120752,0.03275251386178583,0.0730959619335742,0.006101435505964346,0.03916846218465243,0.522,0.5000160318071094,0.506,0.5004647139007099,1.476,0.880326046357707,0.504,0.5004847349718868,0.504,0.5004847349718868,1.0,0.0,0.017,0.514,1.0,10.543701605782738,Hybrid CIC
30,cache_aware,16.817062915000328,5.257224424713823,0.012,0.10899430957182159,0.01,0.09959839195167117,0.026113597546705735,0.06921352309527742,0.003007745995253361,0.02691398932204715,0.566,0.49612122767030453,0.612,0.48778259883625913,1.312,0.9510336113196628,0.49,0.5004006410899234,0.486,0.5003045164881453,1.0,0.0,0.011,0.589,0.9918367346938776,12.817883319360007,Hybrid CIC
